concurrency_level,pool_workers,wall_sec,throughput_req_per_sec,p50_ms,p90_ms,p99_ms,errors,incomplete,sys_cpu_avg_pct,proc_mem_peak_mb
1,1,0.28,3.6,276.488,276.488,276.488,0,0,0.0,287.69
10,10,1.99,5.04,1927.765,1971.025,1980.033,0,0,66.3,309.9
25,25,5.38,4.65,4914.619,5249.851,5332.286,0,0,82.37,350.93
50,50,12.87,3.88,11870.013,12710.055,12810.741,0,0,89.56,419.75
100,64,29.53,3.39,18586.091,19742.559,20354.736,0,0,96.42,477.2
250,64,92.83,2.69,23843.074,24756.857,25798.284,0,0,98.5,524.11
500,64,185.74,2.69,23902.499,24976.331,25700.058,0,0,99.43,578.48
1000,64,421.53,2.37,23934.026,36956.238,38385.373,0,0,99.76,596.57
