experiment,label,f1,roc_auc,pct_drop
gaussian_noise,Gaussian sigma=0.01,0.3245283018867925,0.9540493461615922,1.87
gaussian_noise,Gaussian sigma=0.02,0.30618892508143325,0.9542436780309589,7.41
gaussian_noise,Gaussian sigma=0.05,0.1279279279279279,0.953575883061681,61.32
gaussian_noise,Gaussian sigma=0.1,0.03629132488192891,0.9435412919889337,89.03
gaussian_noise,Gaussian sigma=0.2,0.03629132488192891,0.848265676398571,89.03
sensor_noise,Sensor noise: drift,0.2903225806451613,0.9572787884997932,12.21
sensor_noise,Sensor noise: offset,0.06311822892133773,0.8327756597566964,80.91
sensor_noise,Sensor noise: quantization,0.30976430976430974,0.9538302811452154,6.33
sensor_noise,Sensor noise: spike,0.14551607445008458,0.886478388529473,56.0
missing_values,Missing 1% (ffill),0.19784946236559142,0.9232813112807883,40.17
missing_values,Missing 1% (interpolate),0.2362204724409449,0.9309839199211366,28.57
missing_values,Missing 1% (mean),0.08766014834794335,0.7898247833199655,73.49
missing_values,Missing 1% (zero),0.08701472556894242,0.7847756880231502,73.69
missing_values,Missing 5% (ffill),0.09316770186335403,0.8339204511326014,71.83
missing_values,Missing 5% (interpolate),0.1193717277486911,0.8713947021599103,63.9
missing_values,Missing 5% (mean),0.037647058823529415,0.6450722737888708,88.62
missing_values,Missing 5% (zero),0.037412314886983634,0.6387829878348249,88.69
missing_values,Missing 10% (ffill),0.06439024390243903,0.7853975500051232,80.53
missing_values,Missing 10% (interpolate),0.088255261371351,0.8273909003218842,73.31
missing_values,Missing 10% (mean),0.03630937577716986,0.6215086513014935,89.02
missing_values,Missing 10% (zero),0.03630034808552959,0.6155832959391705,89.02
missing_values,Missing 20% (ffill),0.04982698961937717,0.7300271004625098,84.93
missing_values,Missing 20% (interpolate),0.06391848077813801,0.7982870529042014,80.67
missing_values,Missing 20% (mean),0.03629132488192891,0.6626752078467676,89.03
missing_values,Missing 20% (zero),0.03629132488192891,0.6560078580741359,89.03
missing_values,Missing 40% (ffill),0.041126760563380285,0.7188512513205734,87.56
missing_values,Missing 40% (interpolate),0.05282738095238095,0.7756809565367941,84.03
missing_values,Missing 40% (mean),0.03629132488192891,0.8037212786330342,89.03
missing_values,Missing 40% (zero),0.03629132488192891,0.7947113465078562,89.03
sensor_failure,Sensor failure: critical,0.049702485124256214,0.7321541511053951,84.97
sensor_failure,Sensor failure: multiple,0.03664658634538153,0.7925913624784026,88.92
sensor_failure,Sensor failure: random_single,0.13529411764705881,0.8819380893997266,59.09
packet_loss,Packet loss 1%,0.298932384341637,0.9466682684323778,9.61
packet_loss,Packet loss 5%,0.19545454545454546,0.9108935379353476,40.9
packet_loss,Packet loss 10%,0.13664596273291926,0.8620314393631567,58.68
packet_loss,Packet loss 20%,0.09951219512195121,0.7799421244359959,69.91
timestamp_jitter,Timestamp jitter p=0.05,0.33070866141732286,0.9541129456824758,0.0
timestamp_jitter,Timestamp jitter p=0.15,0.32941176470588235,0.9541765452033595,0.39
timestamp_jitter,Timestamp jitter p=0.3,0.33076923076923076,0.9550422053487198,-0.02
data_drift,Data drift level=0.0,0.3094170403587444,0.9621441518473893,6.44
data_drift,Data drift level=0.25,0.03629132488192891,0.9725391402051439,89.03
data_drift,Data drift level=0.5,0.03629132488192891,0.9795562873426353,89.03
data_drift,Data drift level=1.0,0.03629132488192891,0.9723554082559246,89.03
data_drift,Data drift level=2.0,0.03629132488192891,0.8220750403680293,89.03
data_drift,Data drift level=4.0,0.03629132488192891,0.8645860201186484,89.03
concept_drift,Concept drift level=0.0,0.33070866141732286,0.9538232145317839,0.0
concept_drift,Concept drift level=0.25,0.5122807017543859,0.9999682002395581,-54.9
concept_drift,Concept drift level=0.5,0.5122807017543859,1.0,-54.9
concept_drift,Concept drift level=0.75,0.5122807017543859,1.0,-54.9
concept_drift,Concept drift level=1.0,0.5122807017543859,1.0,-54.9
