method,key,ece,mce,mce_robust_min10,brier
Uncalibrated (percentile),uncalibrated,0.4816455696202532,0.8277566539923954,0.8277566539923954,0.31699102707899374
Platt (raw score),platt_raw,0.023992018224515185,0.21275368252815494,0.21275368252815494,0.018410711402256346
Platt (log(score+eps)),platt_log,0.023718629645231932,0.7369958978574833,0.7369958978574833,0.021806353585235253
Isotonic regression,isotonic,0.029204440409836323,0.5963922142982483,0.533179091122336,0.027995875871447272
Temperature scaling,temperature,0.22975257273158536,0.7881912094056842,0.7881912094056842,0.1138547034023569
