id,group,component,label,accuracy,precision,recall,f1,roc_auc,pr_auc,mcc,balanced_accuracy,f1_ci_lo,f1_ci_hi,params,size_kb,train_s,latency_ms,delta_f1
E07_loss_mae,training,Reconstruction loss,Loss = MAE,0.9582278481012658,0.3,0.9452054794520548,0.4554455445544554,0.9592009073531647,0.4529511653825265,0.5197421094611767,0.9518392628108868,0.3859441678520626,0.5243917927297358,113125,441.9,43.93,0.0439,-0.007987917435811287
E06_latent_8,capacity,Latent dim,Latent dim = 8,0.9607594936708861,0.3047619047619048,0.8767123287671232,0.45229681978798586,0.9637235399493324,0.49973874756579195,0.503679149743203,0.9195271728952975,0.3793722390141827,0.5257385878839591,112093,437.9,38.76,0.0242,-0.004839192669341741
E13_heads_2,capacity,Attention heads,Heads = 2,0.96,0.3023255813953488,0.8904109589041096,0.45138888888888884,0.9756696499553036,0.527515577794774,0.5056409987921839,0.9258606251832903,0.3797827994734533,0.5186274509803922,113125,441.9,36.22,0.0305,-0.0039312617702447206
E13_heads_1,capacity,Attention heads,Heads = 1,0.958987341772152,0.2986425339366516,0.9041095890410958,0.4489795918367347,0.974722723755481,0.5180286764189499,0.5064029152935158,0.9320651117761579,0.3824602613917344,0.5218450028232637,113125,441.9,36.03,0.032,-0.0015219647180905738
E20_no_xai,runtime,XAI (Integrated Gradients),Without XAI attribution,0.9587341772151898,0.2972972972972973,0.9041095890410958,0.4474576271186441,0.9749170556248477,0.5253246845680078,0.505178008100112,0.9319361460810328,0.37758948368704465,0.5166111341059604,113125,441.9,0.0,0.0527,0.0
E16_opt_adam,training,Optimizer,Optimizer = adam,0.9587341772151898,0.2972972972972973,0.9041095890410958,0.4474576271186441,0.9747933898897962,0.5246285122586818,0.505178008100112,0.9319361460810328,0.37758948368704465,0.5166111341059604,113125,441.9,63.38,0.0528,0.0
E01_baseline,baseline,Full proposed model,Transformer + Autoencoder (baseline),0.9587341772151898,0.2972972972972973,0.9041095890410958,0.4474576271186441,0.9749170556248477,0.5253246845680078,0.505178008100112,0.9319361460810328,0.37758948368704465,0.5166111341059604,113125,441.9,64.28,0.0527,0.0
E04_no_positional,architecture,Positional encoding,No positional encoding,0.959493670886076,0.29767441860465116,0.8767123287671232,0.4444444444444444,0.9706099547383409,0.5427037185280872,0.4973554127424064,0.9188823444196721,0.36780796880711586,0.5239130434782608,113125,441.9,47.18,0.0293,0.003013182674199699
E13_heads_8,capacity,Attention heads,Heads = 8,0.9579746835443038,0.29333333333333333,0.9041095890410958,0.4429530201342282,0.9763127117775713,0.5241957478951654,0.5015512230544816,0.9315492489956576,0.3731163149768399,0.5108358208955224,113125,441.9,44.39,0.0374,0.004504606984415904
E17_drop_0.3,training,Dropout,Dropout = 0.3,0.9574683544303797,0.2907488986784141,0.9041095890410958,0.44,0.9677232431515683,0.4731207514800294,0.4991724349039278,0.9312913176054074,0.3748122791519435,0.5136251094942706,113125,441.9,64.04,0.0551,0.007457627118644117
E18_batch_256,training,Batch size,Batch size = 256,0.9579746835443038,0.2914798206278027,0.8904109589041096,0.4391891891891892,0.975620183661283,0.4772356717799712,0.49581681466707045,0.9248288996222895,0.3654702194357367,0.5091153142159853,113125,441.9,43.27,0.0358,0.00826843792945492
E14_layers_4,capacity,Transformer layers,Layers = 4,0.9574683544303797,0.28888888888888886,0.8904109589041096,0.43624161073825507,0.9723589415626402,0.5119398709824654,0.4934409893790535,0.9245709682320393,0.35688390756883914,0.5059196598993579,213093,832.4,72.58,0.0767,0.011216016380389049
E16_opt_rmsprop,training,Optimizer,Optimizer = rmsprop,0.9574683544303797,0.28699551569506726,0.8767123287671232,0.43243243243243246,0.9719455446768968,0.5173146150007651,0.48767247951674075,0.9178506188586713,0.3580666809835714,0.5016303207640921,113125,441.9,55.5,0.0414,0.015025194686211663
E09_featsel_40,features,Feature selection,Top-40 features (variance),0.9759493670886076,0.3829787234042553,0.4931506849315068,0.4311377245508982,0.8654940799445977,0.5186266050867517,0.4225498815430382,0.7390953321484979,0.35139393939393937,0.5257293233082707,107320,419.2,38.15,0.0498,0.016319902567745903
E15_lr_0.0001,training,Learning rate,LR = 0.0001,0.9562025316455697,0.2826086956521739,0.8904109589041096,0.4290429042904291,0.9728783376498563,0.4554789596781409,0.48763417495426953,0.9239261397564138,0.36358800773694394,0.49870234113712386,113125,441.9,40.05,0.042,0.018414722828215047
E09_featsel_20,features,Feature selection,Top-20 features (variance),0.9627848101265822,0.29891304347826086,0.7534246575342466,0.4280155642023346,0.878800513036135,0.41582518315671113,0.4602397613008251,0.8600757540959858,0.34597631030450915,0.5093951709299546,104740,409.1,37.8,0.0734,0.01944206291630951
E08_thr_p99,threshold,Threshold strategy,Threshold = p99,0.9551898734177215,0.2796610169491525,0.9041095890410958,0.42718446601941745,0.9749170556248477,0.5253246845680078,0.4888355044981734,0.9301306263492815,0.36119918380160104,0.5016406235309603,113125,441.9,0.0,0.0282,0.020273161099226666
E14_layers_1,capacity,Transformer layers,Layers = 1,0.9564556962025317,0.28193832599118945,0.8767123287671232,0.4266666666666667,0.9710480847710947,0.5212582494264734,0.48301924443601524,0.9173347560781708,0.3523728813559322,0.501494408833575,63141,246.6,21.99,0.0301,0.020790960451977425
E19_act_elu,training,Activation,Activation = elu,0.9564556962025317,0.28193832599118945,0.8767123287671232,0.4266666666666667,0.9705286886838785,0.5182533252547372,0.48301924443601524,0.9173347560781708,0.3528132992327365,0.5001488095238096,113125,441.9,52.72,0.0376,0.020790960451977425
E18_batch_64,training,Batch size,Batch size = 64,0.9534177215189873,0.2716049382716049,0.9041095890410958,0.4177215189873418,0.976475243886496,0.610920089920556,0.48118580377065645,0.9292278664834057,0.35222593926917134,0.49721984527530866,113125,441.9,61.68,0.0873,0.02973610813130234
E03_no_bottleneck,architecture,Autoencoder bottleneck,No latent bottleneck,0.9529113924050633,0.2693877551020408,0.9041095890410958,0.41509433962264153,0.9625681486532801,0.43676941293037447,0.4790590324960314,0.9289699350931556,0.34314705509012444,0.4833626760563381,110997,433.6,38.29,0.0279,0.03236328749600259
E07_loss_huber,training,Reconstruction loss,Loss = HUBER,0.949873417721519,0.25680933852140075,0.9041095890410958,0.3999999999999999,0.976895707385671,0.501348508105413,0.46681019807407514,0.9274223467516545,0.34202720785013374,0.4727432712215322,113125,441.9,38.21,0.0447,0.04745762711864421
E17_drop_0.0,training,Dropout,Dropout = 0.0,0.9493670886075949,0.2548262548262548,0.9041095890410958,0.3975903614457831,0.9757191162493243,0.5718355516979554,0.4648496288195366,0.9271644153614043,0.3344032250323943,0.47363269908860633,113125,441.9,36.86,0.053,0.04986726567286104
E11_seq_16,capacity,Sequence length,Sequence length = 16,0.948169014084507,0.22666666666666666,0.8360655737704918,0.35664335664335667,0.956298248828872,0.4574623005446792,0.41933233030239764,0.8930972752773354,0.2909908789386401,0.4184705266829438,113125,441.9,68.15,0.0542,0.09081427047528745
E11_seq_32,capacity,Sequence length,Sequence length = 32,0.9585454545454546,0.175,0.5833333333333334,0.2692307692307692,0.9294245885531809,0.3360243586407535,0.30427096009794813,0.773427904691722,0.18393061138142586,0.3691163003663003,113125,441.9,138.22,0.1145,0.1782268578878749
E10_no_norm,features,Normalization,No normalization (raw features),0.9569620253164557,0.1830065359477124,0.3835616438356164,0.24778761061946902,0.7193423809540636,0.1822071016726709,0.24521467809870964,0.6756601100271711,0.16421732572627712,0.31628312412831244,113125,441.9,39.21,0.0265,0.1996700164991751
E08_thr_p95,threshold,Threshold strategy,Threshold = p95,0.8913924050632911,0.14112903225806453,0.958904109589041,0.2460456942003515,0.9749170556248477,0.5253246845680078,0.3450865055439953,0.9245126686712293,0.2051984806853079,0.29772701866825657,113125,441.9,0.0,0.0282,0.20141193291829262
E08_thr_adaptive,threshold,Threshold strategy,Threshold = adaptive,0.9812658227848101,0.4666666666666667,0.0958904109589041,0.15909090909090906,0.9749170556248477,0.5253246845680078,0.20545607034058597,0.5469134799184513,0.0665625,0.266930693069307,113125,441.9,0.0,0.0282,0.28836671802773506
